PARM =,MNET;SLAT;SLON,;SELV;TMPF,;SKNT;DRC,T;GUST;PM,SL;ALTI;D,WPF;RELH;,WTHR;P24I,,,,,,,,
STN,YYMMDD/HHMM,MNET,SLAT,SLON,SELV,TMPF,SKNT,DRCT,GUST,PMSL,ALTI,DWPF,RELH,WTHR,P24I
K5H4,20131012/0215,1,47.79,-99.93,490,50,4,250,-9999,-9999,29.3,50,100,-9999,-9999
K5R8,20131012/0215,1,30.44,-93.47,25,69.98,0,0,-9999,-9999,29.96,68.36,94.62,-9999,-9999
K5SM,20131012/0147,1,39.43,-107.38,3232,30.2,0,0,-9999,-9999,30.2,30.2,100,20,-9999
K5W8,20131012/0215,1,35.7,-79.5,187,63.14,0,0,-9999,-9999,29.99,62.06,96.27,-9999,-9999
K65S,20131012/0215,1,48.73,-116.3,711,42.8,8,350,-9999,-9999,30.06,35.6,75.5,-9999,-9999
K6A2,20131012/0215,1,33.23,-84.27,292,66.2,3,300,-9999,-9999,30.02,-9999,-9999,-9999,-9999
K6B0,20131012/0215,1,43.98,-73.1,149,46.4,0,0,-9999,-9999,30.17,46.04,98.65,-9999,-9999
K6R3,20131012/0215,1,30.36,-95.01,46,73.76,0,0,-9999,-9999,29.94,71.06,91.3,-9999,-9999
K6S2,20131012/0155,1,43.98,-124.11,16,53.6,4,360,-9999,-9999,30.12,46.4,76.52,-9999,-9999
K6S5,20131012/0210,1,46.25,-114.12,1110,39.2,0,120,-9999,-9999,30.04,24.8,55.91,-9999,-9999
K6S5,20131012/0219,1,46.25,-114.12,1110,37.4,3,160,-9999,-9999,30.04,24.8,60,-9999,-9999
K79S,20131012/0209,1,47.84,-110.64,874,44.6,0,200,-9999,-9999,30.03,35.6,70.47,-9999,-9999
K79S,20131012/0219,1,47.84,-110.64,874,44.6,0,280,-9999,-9999,30.03,35.6,70.47,-9999,-9999
K7BM,20131012/0214,1,38.78,-106.22,2995,37.4,12,260,17,-9999,30.15,21.2,51.56,-9999,-9999
K7L2,20131012/0215,1,46.22,-100.25,543,44.6,22,280,30,-9999,29.51,42.8,93.35,-9999,-9999
K82V,20131012/0215,1,41.15,-104.13,1570,39.2,13,320,16,-9999,30,35.6,86.79,-9999,-9999
K88M,20131012/0206,1,48.97,-115.08,813,37.4,0,110,-9999,-9999,30.06,30.2,74.96,-9999,-9999
K88M,20131012/0218,1,48.97,-115.08,813,37.4,0,340,-9999,-9999,30.06,30.2,74.96,-9999,-9999
K8A0,20131012/0215,1,34.23,-86.26,315,60.8,0,0,-9999,-9999,30.04,44.6,55.15,-9999,-9999
K96D,20131012/0215,1,48.93,-97.9,290,57.2,12,110,16,-9999,29.31,57.2,100,13,-9999
K9A1,20131012/0215,1,33.63,-83.85,242,62.6,0,0,-9999,-9999,30,51.8,67.79,-9999,-9999
K9D7,20131012/0215,1,48.48,-99.23,452,48.2,5,350,-9999,-9999,29.29,48.2,100,-9999,-9999
K9MN,20131012/0213,1,44.02,-92.48,355,68.18,10,140,21,-9999,29.75,50.18,52.59,-9999,-9999
KAAA,20131012/0215,1,40.16,-89.34,180,64.04,0,0,-9999,-9999,29.95,54.86,72.09,-9999,-9999
KACB,20131012/0216,1,44.99,-85.2,190,47.12,0,0,-9999,-9999,30.06,45.32,93.42,-9999,-9999
KACJ,20131012/0215,1,32.11,-84.19,143,62.6,0,0,-9999,-9999,30.03,59,88.02,-9999,-9999
KACP,20131012/0215,1,30.75,-92.69,33,68.36,0,0,-9999,-9999,29.97,66.02,92.25,-9999,-9999
KACQ,20131012/0213,1,44.07,-93.55,339,66.2,15,160,26,-9999,29.69,60.8,82.77,-9999,-9999
KADC,20131012/0215,1,46.45,-95.21,417,60.8,16,180,19,-9999,29.49,55.4,82.4,-9999,-9999
KADH,20131012/0215,1,34.8,-96.67,310,71.6,9,150,-9999,-9999,29.87,68,88.46,-9999,-9999
KADU,20131012/0215,1,41.7,-94.92,392,64.4,0,0,-9999,-9999,29.8,53.6,67.99,-9999,-9999
KADW,20131012/0203,1,38.82,-76.85,86,62.6,7,10,-9999,-9999,29.99,62.6,100,13,-9999
KADW,20131012/0208,1,38.82,-76.85,86,62.6,8,20,-9999,-9999,29.99,62.6,100,2493,-9999
KAEJ,20131012/0215,1,38.81,-106.12,2422,41.72,12,270,15,-9999,30.1,22.46,45.96,-9999,-9999
KAEL,20131012/0210,1,43.68,-93.37,384,66.2,15,170,21,-9999,29.72,60.8,82.77,-9999,-9999
KAFJ,20131012/0215,1,40.13,-80.28,361,57.2,0,0,-9999,-9999,30.1,53.6,87.75,-9999,-9999
KAFK,20131012/0215,1,40.6,-95.85,354,63.5,12,310,16,-9999,29.81,45.5,51.89,-9999,-9999
KAFP,20131012/0215,1,35.02,-80.08,91,68.54,0,0,-9999,-9999,29.97,61.88,79.33,-9999,-9999
KAHQ,20131012/0215,1,41.24,-96.59,373,57.56,11,310,23,-9999,29.85,42.44,57,-9999,-9999
KAIB,20131012/0159,1,38.24,-108.56,1802,46.4,5,100,-9999,-9999,30.14,37.4,70.68,-9999,-9999
KAIB,20131012/0215,1,38.24,-108.56,1802,44.6,5,90,-9999,-9999,30.15,37.4,75.67,-9999,-9999
KAIG,20131012/0215,1,45.16,-89.11,461,57.56,12,150,17,-9999,29.95,50.18,76.37,-9999,-9999
KAIK,20131012/0215,1,33.65,-81.68,161,64.4,0,0,-9999,-9999,30.01,55.4,72.6,-9999,-9999
KAIO,20131012/0215,1,41.4,-95.05,360,66.2,7,280,-9999,-9999,29.79,55.4,68.2,-9999,-9999
KAIT,20131012/0212,1,46.55,-93.68,367,69.8,15,140,21,-9999,29.55,53.6,56.44,-9999,-9999
KAIZ,20131012/0215,1,38.1,-92.55,265,69.8,7,160,-9999,-9999,29.91,57.2,64.32,-9999,-9999
KAJZ,20131012/0215,1,38.79,-108.07,1571,49.46,0,0,-9999,-9999,30.1,41,72.52,-9999,-9999
KAKQ,20131012/0219,1,36.98,-77,34,62.6,4,-9999,-9999,-9999,29.93,60.8,93.84,31,-9999
KALM,20131012/0215,1,32.83,-105.98,1279,59,3,170,-9999,-9999,30.02,32,35.88,-9999,-9999
KALX,20131012/0215,1,32.91,-85.96,209,62.96,0,0,-9999,-9999,30.04,59,86.92,-9999,-9999
KAMN,20131012/0210,1,43.32,-84.69,229,49.82,5,90,-9999,-9999,30.08,47.66,92.24,-9999,-9999
KANE,20131012/0214,1,45.14,-93.21,276,71.6,18,160,26,-9999,29.63,55.4,56.7,-9999,-9999
KANK,20131012/0215,1,38.54,-106.05,2293,45.68,12,240,18,-9999,30.16,26.42,46.62,-9999,-9999
KANQ,20131012/0215,1,41.64,-85.09,299,59,5,110,-9999,-9999,30.07,55.4,87.85,-9999,-9999
KANW,20131012/0215,1,42.58,-100,789,49.1,5,290,-9999,-9999,29.87,38.3,66.16,-9999,-9999
KAPY,20131012/0215,1,26.97,-99.25,129,83.66,3,140,-9999,-9999,29.82,68.9,61.3,-9999,-9999
KAQO,20131012/0215,1,30.78,-98.66,336,80.6,5,170,-9999,-9999,29.92,68,65.62,-9999,-9999
KAQP,20131012/0214,1,45.23,-96,310,55.4,20,240,28,-9999,29.59,46.4,71.66,-9999,-9999
KARG,20131012/0215,1,36.13,-90.92,83,66.2,0,0,-9999,-9999,29.97,60.8,82.77,-9999,-9999
KARM,20131012/0215,1,29.25,-96.15,31,74.84,6,110,-9999,-9999,29.92,72.86,93.58,-9999,-9999
KARV,20131012/0215,1,45.93,-89.73,497,61.88,11,150,15,-9999,29.89,53.6,74.28,-9999,-9999
KARW,20131012/0215,1,32.41,-80.63,3,68,3,190,-9999,-9999,29.96,66.2,93.98,-9999,-9999
KASJ,20131012/0215,1,36.3,-77.17,21,61.52,3,330,-9999,-9999,29.95,59.18,92.03,-9999,-9999
KASL,20131012/0215,1,32.52,-94.31,109,73.04,0,0,-9999,-9999,29.95,66.2,79.19,-9999,-9999
KASW,20131012/0215,1,41.27,-85.84,259,59,4,110,-9999,-9999,30.04,46.4,62.95,-9999,-9999
KATP,20131012/0215,1,27.2,-90.03,19,80.6,13,130,-9999,-9999,30.06,69.8,69.79,-9999,-9999
KATS,20131012/0215,1,32.85,-104.47,1079,64.4,9,260,-9999,-9999,29.97,33.8,31.88,-9999,-9999
KAUH,20131012/0215,1,40.89,-97.99,550,49.46,5,300,-9999,-9999,29.9,43.34,79.36,-9999,-9999
KAUM,20131012/0216,1,43.67,-92.93,375,66.2,8,170,14,-9999,29.75,57.2,72.78,-9999,-9999
KAUN,20131012/0215,1,38.95,-121.07,467,62.6,0,0,-9999,-9999,29.99,42.8,48.31,-9999,-9999
KAUO,20131012/0215,1,32.62,-85.43,236,64.4,3,330,-9999,-9999,30.04,55.4,72.6,-9999,-9999
KAVC,20131012/0215,1,36.69,-78.05,135,62.6,5,350,-9999,-9999,30.02,62.6,100,-9999,-9999
KAVK,20131012/0215,1,36.77,-98.67,449,64.4,8,350,-9999,-9999,29.85,35.6,34.25,-9999,-9999
KAVX,20131012/0210,1,33.4,-118.42,488,53.6,7,250,-9999,-9999,29.98,51.8,93.6,31,-9999
KAVX,20131012/0219,1,33.4,-118.42,488,53.6,5,260,-9999,-9999,29.98,51.8,93.6,31,-9999
KAWG,20131012/0215,1,41.28,-91.67,230,71.6,8,160,14,-9999,29.86,53.6,53.1,-9999,-9999
KAWO,20131012/0215,1,48.17,-122.17,42,50,0,0,-9999,-9999,30.11,44.6,81.61,-9999,-9999
KAXA,20131012/0215,1,43.08,-94.27,372,68,18,180,29,-9999,29.69,60.8,77.79,-9999,-9999
KAXH,20131012/0215,1,29.51,-95.48,21,76.46,3,100,-9999,-9999,29.93,74.3,93.07,-9999,-9999
KAXS,20131012/0215,1,34.7,-99.34,437,70.88,5,210,-9999,-9999,29.85,35.06,26.82,-9999,-9999
KAXX,20131012/0215,1,36.42,-105.29,2554,36.5,0,0,-9999,-9999,30.16,29.3,74.87,-9999,-9999
KAYS,20131012/0215,1,31.25,-82.4,46,66.2,0,0,-9999,-9999,29.99,64.4,93.94,-9999,-9999
